@relation 'Free-Converter.com-sensor_test_fe_double_20_sec_shuffle_v2-84495343-weka.filters.unsupervised.attribute.Remove-R2,4-8,13,15-16,18,20-21,23-29,31-35,37,39-40,42-44,46-47,50-51,54,58-64,66-67,69-72,74-93,96,100,103,105,107-108,110-114'

@attribute AX-MinRed numeric
@attribute AX-MinInc numeric
@attribute AX-SqMean numeric
@attribute AX-GeoMean numeric
@attribute AX-HaMean numeric
@attribute AX-QuaMean numeric
@attribute AX-StdDev numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-MinInc numeric
@attribute AY-HaMean numeric
@attribute AY-Kurtosis numeric
@attribute AY-InqRan numeric
@attribute AZ-MinInc numeric
@attribute AZ-Ranj numeric
@attribute AZ-GeoMean numeric
@attribute AZ-HaMean numeric
@attribute AZ-StdDev numeric
@attribute AZ-Variance numeric
@attribute AZ-Kurtosis numeric
@attribute AZ-Skewness numeric
@attribute AZ-InqRan numeric
@attribute GX-AritMean numeric
@attribute GX-HaMean numeric
@attribute GX-CoVar numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-MaxRed numeric
@attribute GZ-MinInc numeric
@attribute GZ-MaxInc numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-SqMean numeric
@attribute GZ-HaMean numeric
@attribute GZ-StdDev numeric
@attribute Mode {Araba,Yurume,Tramvay,Met-Mar,Hafif_Rayli,Oto-Mbus}

@data
0.000055,0.000028,0.004384,0.021538,-3.320804,0.066211,0.066201,19.758319,0.050335,0.00002,0.008155,19.008942,0.04165,0.000007,1.087286,0.03153,-0.048908,0.082252,0.006765,8.804594,0.110164,0.074572,0.000535,-0.006243,94.48088,0.178104,0.116023,0.715,0.000008,0.855964,0.689698,1.419097,0.005011,0.001819,0.070795,Oto-Mbus
0.000119,0.000052,0.139714,0.171944,-0.410556,0.373784,0.351897,4.146518,0.420992,0.000624,-0.147367,3.67445,0.667879,0.00083,3.96046,0.290841,0.409273,0.540215,0.291832,3.15208,-0.087402,0.730814,0.033038,-1.615968,57.602922,0.795323,1.615849,3.64509,0.000926,2.953911,1.63693,4.33925,0.381215,0.172315,0.61705,Yurume
0.001363,0.000397,0.135778,0.170309,-1.525392,0.36848,0.34606,3.962514,0.416553,0.000016,-0.689356,3.426916,0.684838,0.000523,3.84089,0.286024,-0.385897,0.548771,0.30115,3.279129,-0.038798,0.731124,-0.005911,1.664464,-322.146957,0.786425,1.63346,3.80967,0.000077,3.149834,1.55319,4.48912,0.378747,5.480741,0.614658,Yurume
0.000046,0.000017,0.000279,0.005549,0.002883,0.016703,0.016696,10.597141,0.01306,0.000004,0.000473,13.117471,0.013265,0.000005,0.331454,0.005897,0.008093,0.01963,0.000385,14.007459,0.036351,0.013871,0.000973,-0.01049,12.375332,-0.142052,0.022231,0.246541,0.000017,0.250985,0.247473,0.387952,0.000558,-0.00883,0.023354,Tramvay
0.000061,0.000077,0.003921,0.021696,0.12729,0.062614,0.062629,17.516381,0.051149,0.000042,0.0012,17.55162,0.041914,0.000524,1.271123,0.030394,-0.063434,0.087445,0.007647,12.532669,0.165696,0.073068,0.000542,-0.018177,91.744955,0.616477,0.114916,1.065282,0.000008,1.064846,0.622309,1.679009,0.004678,0.018731,0.06815,Oto-Mbus
0.00001,0.000002,0.000207,0.005574,-0.010902,0.014373,0.014356,18.012062,0.013575,0.00004,0.406641,3.75968,0.025208,0.000039,0.150782,0.005058,0.003211,0.011193,0.000125,8.157084,0.35342,0.01262,-0.000638,-0.019621,-34.404403,-0.038155,0.040548,0.114542,0.000003,0.108426,0.10044,0.203583,0.00014,0.008032,0.011817,Met-Mar
0.000013,0.000007,0.000603,0.013192,0.014703,0.024549,0.024546,2.856733,0.03387,0.000016,0.012495,3.030602,0.040426,0.000059,0.379026,0.027401,0.068194,0.049852,0.002485,3.042908,-0.045536,0.066019,0.000235,0.010003,129.997861,0.046258,0.079864,0.06281,0.00005,0.05567,0.072626,0.139156,0.000536,-0.008948,0.023161,Araba
0.000024,0.000064,0.000912,0.010917,0.003314,0.0302,0.030159,7.842549,0.027325,0.000044,0.017228,21.66724,0.02782,0.00001,0.431747,0.011513,0.001705,0.031673,0.001003,9.211416,-0.745823,0.02779,-0.002275,0.006269,-25.089229,0.202295,0.082446,0.252062,0.000001,0.253049,0.219941,0.451379,0.001146,-0.008014,0.033863,Oto-Mbus
0.000138,0.000033,0.00392,0.021391,0.058086,0.06261,0.062583,17.377214,0.050491,0.000069,-0.533041,21.303533,0.044889,0.000062,1.21107,0.02949,0.047266,0.083069,0.006901,10.136814,0.053136,0.068518,0.001434,-0.057843,34.133857,-0.533415,0.108219,0.540928,0.000107,0.465513,0.452543,0.97052,0.004483,-0.03856,0.066826,Oto-Mbus
0.000004,0.000061,0.000499,0.006043,0.058074,0.022332,0.022319,9.899748,0.013683,0.000003,-0.003656,10.807237,0.01084,0.000008,0.294483,0.005029,-0.005898,0.016013,0.000256,15.436167,0.115609,0.011845,-0.000297,-0.011953,-143.656974,0.492967,0.059636,0.230253,0.000004,0.192375,0.197299,0.344056,0.000551,-0.070391,0.023484,Tramvay
0.000014,0.000075,0.000895,0.011523,0.041802,0.029912,0.029875,5.914533,0.027653,0.000053,0.001884,13.431306,0.028963,0.000002,0.30678,0.011212,-0.00046,0.029954,0.000897,6.562859,-0.627405,0.026233,-0.001051,0.019789,-49.291819,-0.163083,0.077681,0.21327,0.000016,0.194473,0.166594,0.341742,0.001075,0.024792,0.032786,Oto-Mbus
0.000001,0.000001,0.000071,0.003143,0.000214,0.008444,0.008429,15.349545,0.007223,0,-0.007906,9.237944,0.00639,0,0.15264,0.004048,-0.007282,0.01167,0.000136,9.867178,-0.492537,0.008698,-0.000825,-0.007129,-11.67114,-1.025287,0.01328,0.109385,0.000001,0.123964,0.105963,0.184321,0.000109,0.006832,0.010391,Met-Mar
