@relation 'Free-Converter.com-sensor_test_fe_double_60_sec_shuffle_v2-94975332-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,10-11,13-16,18,20-35,37-44,46,48-69,71-76,78-92,96-100,103-105,107-114'

@attribute AX-MinInc numeric
@attribute AX-Max numeric
@attribute AX-SqMean numeric
@attribute AX-QuaMean numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-Kurtosis numeric
@attribute AZ-Ranj numeric
@attribute AZ-SqMean numeric
@attribute GX-Median numeric
@attribute GY-MinRed numeric
@attribute GY-Kurtosis numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-HaMean numeric
@attribute Mode {Tramvay,Oto-Mbus,Met-Mar,Araba,Hafif_Rayli,Yurume}

@data
0.000143,1.48923,0.13998,0.374139,4.018742,0.429944,3.373002,3.8787,0.301962,-0.319569,0.001433,4.031413,0.780054,1.548521,2.09034,5.13902,-0.048574,Yurume
0.000011,0.551987,0.003338,0.057775,13.58659,0.047814,26.596657,1.288799,0.006641,0.000835,0.000019,25.31671,0.192261,0.112573,0.653218,1.248754,-0.015916,Oto-Mbus
0.000012,0.483894,0.003774,0.061429,8.476362,0.060184,5.7891,1.527679,0.004057,-0.001608,0.000059,108.962057,1.109118,0.108197,1.65427,3.02219,0.021135,Araba
0.000002,0.563369,0.003647,0.060392,18.991975,0.047146,20.986106,1.657395,0.007172,0.000577,0.000026,21.009888,-0.356419,0.112348,0.598959,1.549761,-0.009854,Oto-Mbus
0,0.136324,0.000141,0.011868,6.676631,0.014242,4.30442,0.238166,0.000573,-0.000669,0.000002,4.316976,-0.086033,0.034301,0.101898,0.184504,-0.005695,Met-Mar
0.000001,0.201633,0.000154,0.012418,54.765388,0.00739,41.847374,0.256303,0.00013,-0.000368,0.000001,583.125818,-12.848795,0.010785,0.418306,2.043656,0.006736,Met-Mar
0.00007,1.36877,0.139393,0.373354,4.097326,0.415334,3.254362,4.64801,0.303722,-0.238461,0.001033,4.092894,0.828148,1.596545,1.60894,4.54487,0.672011,Yurume
0.000019,0.546535,0.001328,0.036445,29.671908,0.032773,8.897511,1.802796,0.003132,-0.000502,0.000003,115.173389,-0.651079,0.04888,0.320355,0.703531,-0.008642,Oto-Mbus
0.000012,0.169261,0.000834,0.028882,7.5043,0.02962,9.119212,0.453862,0.000693,0.000384,0.00004,6.125779,0.191636,0.124135,0.263174,0.395659,0.035339,Oto-Mbus
0,0.140923,0.000122,0.011045,16.048817,0.010363,5.197789,0.162236,0.000209,0.001251,0.000001,11.848142,-0.009034,0.018898,0.076792,0.168063,0.017597,Met-Mar
0.000017,1.39857,0.146956,0.383348,3.877189,0.431099,3.442652,3.79098,0.303874,-0.296182,0.00028,4.128116,0.786534,1.581424,1.86428,4.76618,-0.102504,Yurume
0.000002,0.153078,0.000787,0.028053,6.074383,0.029716,9.842065,0.348622,0.000623,0.000491,0.000005,5.450373,0.13671,0.125904,0.192762,0.341651,-0.014714,Oto-Mbus
0.000006,0.126639,0.000202,0.014207,22.449055,0.01432,5.160026,0.283745,0.000137,0.000107,0.000001,13.400901,-0.150365,0.042117,0.27537,0.554808,0.063261,Met-Mar
0.000002,0.08693,0.000162,0.012713,7.159768,0.010957,6.889463,0.36385,0.000424,0.00086,0.000013,61.726952,1.53748,0.022284,0.178362,0.391519,-0.011917,Hafif_Rayli
0.000006,0.084029,0.000162,0.012744,6.897825,0.011028,6.003953,0.349255,0.000402,0.000932,0.000006,58.410474,1.3123,0.022247,0.142983,0.269803,-0.011825,Hafif_Rayli
0.000012,0.148473,0.000476,0.021823,11.020056,0.013555,18.890514,0.368612,0.000235,0.000821,0.000019,12.470291,0.157083,0.057599,0.183159,0.360211,-0.01078,Tramvay
0.000013,0.213963,0.00031,0.017595,20.661925,0.012884,9.337722,0.47566,0.000428,0.000338,0.000002,17.661157,0.265263,0.023095,0.150264,0.340121,-0.008943,Tramvay
0,0.137534,0.000081,0.009015,15.965545,0.009095,5.747184,0.194079,0.000166,-0.000756,0,16.327195,0.596548,0.016029,0.074459,0.152133,-0.106601,Met-Mar
0.000004,0.168788,0.000211,0.014521,32.06604,0.013896,4.982882,0.290746,0.000138,-0.000078,0.000012,11.434897,0.010413,0.042392,0.086596,0.294438,0.01335,Met-Mar
0.000009,0.099437,0.000161,0.012703,8.360253,0.011015,6.416326,0.300151,0.000415,0.000814,0.000001,32.821466,0.426139,0.022376,0.166832,0.370438,0.015731,Hafif_Rayli
0.000005,0.096896,0.000176,0.013281,29.710811,0.010372,13.026878,0.341171,0.000107,-0.000026,0.000001,11.6021,0.239141,0.036446,0.352865,0.554239,-0.059848,Met-Mar
0.00001,0.155716,0.000841,0.028997,6.219776,0.026643,11.641714,0.36069,0.00092,-0.000281,0.000005,7.135217,-0.147513,0.086267,0.229683,0.441112,-0.005859,Oto-Mbus
0.000004,0.116127,0.000961,0.030999,3.219571,0.04044,3.442952,0.39881,0.002078,-0.000276,0.000004,4.388,0.212967,0.065036,0.117627,0.213816,0.011601,Araba
0,0.135992,0.000097,0.009868,17.704312,0.005542,9.915163,0.182846,0.000154,-0.000087,0,23.827565,-0.890558,0.011586,0.103866,0.196003,-0.005057,Met-Mar
0.000025,0.211417,0.000298,0.017262,16.93339,0.013284,15.296475,0.389533,0.000405,0.000721,0.000014,17.986341,-0.331829,0.023279,0.213416,0.417904,-0.009504,Tramvay
0,0.139144,0.000197,0.014049,39.035676,0.007882,10.324519,0.23235,0.000161,-0.001114,0,31.51795,-0.564346,0.015741,0.164652,0.32208,-0.010009,Met-Mar
0.000028,0.203517,0.000287,0.016927,16.291749,0.013398,14.959137,0.423005,0.000438,0.000775,0.000003,18.672309,-0.552608,0.023417,0.214674,0.376113,0.002803,Tramvay
0.000237,1.08399,0.115321,0.339589,3.505931,0.416933,3.088298,4.2235,0.335633,-0.224132,0.000221,4.313422,0.821003,1.488299,2.16218,5.03125,0.028432,Yurume
0.000018,0.211417,0.000308,0.017536,14.499331,0.01345,12.997177,0.446021,0.000416,0.000325,0.000014,20.013595,0.235651,0.023435,0.213416,0.417904,-0.028184,Tramvay
0.000098,0.393022,0.003078,0.055483,12.95453,0.048695,9.328935,1.207489,0.003832,-0.0011,0.000026,25.571765,1.471786,0.097457,1.30513,2.083887,0.045172,Araba
0.000003,0.164676,0.00013,0.01142,82.578926,0.007459,32.596546,0.22418,0.000132,-0.00036,0.000013,534.409063,-13.463505,0.010145,0.688639,2.227769,0.005044,Met-Mar
0.000005,0.108847,0.000177,0.013309,42.328447,0.009872,7.475301,0.185637,0.000098,0.000534,0.000001,11.532512,0.377115,0.036129,0.352865,0.512668,-0.003518,Met-Mar
0,0.121907,0.000141,0.011882,9.898867,0.012717,4.445662,0.170942,0.000296,0.001404,0.000001,9.448168,0.070314,0.026634,0.105924,0.202312,0.013019,Met-Mar
0.000005,0.090648,0.000168,0.012966,7.379892,0.010802,7.352469,0.265535,0.000396,0.000769,0.00001,26.079973,-0.071653,0.022109,0.116686,0.261065,0.058241,Hafif_Rayli
0.000001,0.090648,0.000163,0.012763,6.610774,0.010783,7.721987,0.296147,0.000401,0.000737,0.000003,33.076055,-1.897692,0.022347,0.16493,0.309309,-0.059023,Hafif_Rayli
0.000455,1.29511,0.113065,0.336251,3.787248,0.406355,3.008306,4.40437,0.350099,-0.301452,0.000521,4.416161,0.811281,1.489221,1.89758,4.76439,0.774191,Yurume
0.000002,0.149224,0.000188,0.013726,16.049533,0.013918,3.987934,0.316195,0.000133,-0.000082,0.000006,14.642109,0.357769,0.042833,0.2259,0.485229,-0.005027,Met-Mar
0.000026,0.128918,0.000505,0.022476,10.246799,0.01414,21.833666,0.562257,0.000266,0.000838,0.000011,14.249106,0.590981,0.058465,0.187963,0.362478,-0.010315,Tramvay
0.000001,0.143039,0.000152,0.01234,16.364784,0.01097,5.990651,0.235586,0.000254,0.000198,0,10.348305,0.253505,0.023148,0.055423,0.141864,0.017773,Met-Mar
0.000001,0.098794,0.000184,0.013577,15.799401,0.014018,3.983026,0.26428,0.000117,0.000167,0.000004,12.512676,0.206617,0.041693,0.199185,0.442662,0.010668,Met-Mar
0.000152,1.2906,0.115936,0.340494,3.884336,0.397938,3.078337,4.52261,0.352946,-0.175753,0.000069,4.812282,0.777824,1.493196,2.21562,5.32882,6.564099,Yurume
0.000502,1.72122,0.14271,0.377769,4.174767,0.421172,3.745706,4.08132,0.301023,-0.233746,0.00006,4.096877,0.813781,1.613864,2.0512,4.93572,-0.940193,Yurume
0.000013,0.076409,0.000161,0.0127,7.262678,0.010685,6.583294,0.290716,0.000416,0.000794,0,92.927211,2.093717,0.022198,0.160622,0.273783,-0.003064,Hafif_Rayli
0.000011,0.325316,0.00123,0.035072,12.784285,0.031869,8.061385,1.678583,0.003088,-0.000676,0.000005,147.803083,5.77117,0.049214,0.322412,0.702014,0.101606,Oto-Mbus
0.000003,0.188319,0.000211,0.014531,26.663324,0.014339,8.722847,0.317203,0.000141,0.000254,0.000005,12.889882,-0.436048,0.042319,0.131733,0.46615,-0.002003,Met-Mar
0.000002,0.108847,0.000164,0.012797,40.840082,0.009819,7.610956,0.203805,0.000099,-0.000249,0.000005,9.937098,0.376359,0.035169,0.363378,0.523181,-0.001555,Met-Mar
0,0.139144,0.000187,0.013673,43.197115,0.005171,11.975417,0.220468,0.000138,-0.000179,0,34.424108,-0.225063,0.010201,0.164652,0.32208,-0.000169,Met-Mar
0.000001,0.139401,0.000493,0.022194,10.633161,0.014059,14.589993,0.356255,0.000251,0.000907,0.000007,9.867394,0.473621,0.058605,0.129179,0.292255,-0.028937,Tramvay
0.000011,0.115235,0.000288,0.016973,5.511087,0.01683,6.807642,0.193522,0.00023,0.000744,0.000006,7.540602,0.234666,0.042679,0.074553,0.179907,0.002076,Hafif_Rayli
0.000296,1.16506,0.116879,0.341875,3.642389,0.414008,3.156026,4.22417,0.35505,-0.220665,0.00164,4.513056,0.839037,1.519052,1.71632,4.609,0.328418,Yurume
0.000042,0.504453,0.003896,0.062419,10.122401,0.058061,7.282534,1.258493,0.003778,-0.000777,0.000001,193.834873,2.636255,0.107502,0.790927,2.490297,0.036859,Araba
0.000003,0.129231,0.000483,0.021973,10.531499,0.013889,15.132439,0.298656,0.000253,0.00098,0.000007,9.52554,0.6157,0.061499,0.192202,0.343188,-0.00355,Tramvay
0.000002,0.158774,0.000141,0.011887,44.017424,0.00741,18.222644,0.279778,0.00013,-0.000404,0.000001,513.838297,-11.296313,0.010564,0.384949,2.010299,0.00667,Met-Mar
0.000004,0.342413,0.001291,0.035936,12.953625,0.032112,7.776294,1.214712,0.002837,-0.000468,0.000006,62.772219,-0.241749,0.048411,0.315956,0.696582,0.05837,Oto-Mbus
0.000011,0.099181,0.000303,0.017408,5.180707,0.017413,7.654127,0.188593,0.000234,0.000659,0.000006,5.427604,0.18938,0.044453,0.077904,0.171579,0.006194,Hafif_Rayli
0.000003,0.251106,0.000142,0.011931,112.708581,0.007507,13.68129,0.252105,0.000135,-0.000368,0.000009,329.804388,8.545372,0.010506,0.74681,1.335221,0.008562,Met-Mar
0.000013,0.112347,0.000496,0.022261,11.309151,0.013747,20.29329,0.386503,0.000228,-0.000057,0.000011,8.381152,0.039779,0.059474,0.141125,0.290057,-0.004061,Tramvay
0.000001,0.143039,0.000135,0.011609,20.804359,0.009094,6.470291,0.199803,0.000165,-0.000387,0,11.644027,0.088125,0.018157,0.090956,0.169314,-0.002599,Met-Mar
0.000001,0.167363,0.000163,0.012758,144.31627,0.007839,13.307691,0.246422,0.000138,-0.000393,0.000003,139.864968,0.091159,0.01064,0.770241,1.722148,0.003615,Met-Mar
0.000001,0.137534,0.0001,0.009994,18.631691,0.009926,6.63128,0.235586,0.000256,-0.001664,0,14.254089,0.260433,0.019889,0.074459,0.1609,0.001954,Met-Mar
0.000003,0.081703,0.000166,0.012877,7.665949,0.01095,6.281374,0.317203,0.000407,0.000803,0.000002,27.444856,-0.585452,0.022077,0.141112,0.284444,-0.033688,Hafif_Rayli
